"id","menunummer","menu_toevoeging","naam","price","soortgerecht","beschrijving"
"97","79","A","Varkenshaas met verse ananas in zoetzure saus","13.3","VLEES GERECHTEN (met witte rijst)",NULL
"98","79","B","Yu Sian Yuk","13.3","VLEES GERECHTEN (met witte rijst)","varkenshaas met licht zoet pikante kruiden saus"
"99","79","C","SzeChuan Yuk","13.3","VLEES GERECHTEN (met witte rijst)","varkenshaas met pittige kruiden saus"
"100","80",NULL,"Ajam Pangang","13","KIP GERECHTEN (met witte rijst)",NULL
"101","81",NULL,"Ajam Pangang in ketjapsaus","13","KIP GERECHTEN (met witte rijst)",NULL
"102","82",NULL,"Koe Loe Kai","13","KIP GERECHTEN (met witte rijst)","bolletjes kip met zoetzure saus"
"103","83",NULL,"Kipfilet met kerriesaus","13","KIP GERECHTEN (met witte rijst)",NULL
"104","84",NULL,"Kipfilet met champignons in knoflooksaus","13","KIP GERECHTEN (met witte rijst)",NULL
"105","85",NULL,"Kipfilet met tomatensaus","13","KIP GERECHTEN (met witte rijst)",NULL
"106","86",NULL,"Kipfilet met ketjapsaus","13","KIP GERECHTEN (met witte rijst)",NULL
"107","87",NULL,"Kipfilet met broccoli in knoflooksaus","13.3","KIP GERECHTEN (met witte rijst)",NULL
"108","88",NULL,"Kipfilet met Chinese champignons","13.3","KIP GERECHTEN (met witte rijst)",NULL
"109","89",NULL,"Kipfilet met zwarte pepersaus","13.3","KIP GERECHTEN (met witte rijst)",NULL
"110","90",NULL,"Kipfilet met verse ananas in zoetzure saus","13.3","KIP GERECHTEN (met witte rijst)",NULL
"111","91",NULL,"Kipfilet met zwarte pepersaus","13.3","KIP GERECHTEN (met witte rijst)",NULL
"112","92",NULL,"Tjieuw Yem Kai","13.3","KIP GERECHTEN (met witte rijst)","licht gebraden kipfilet met zout en peper"
"113","93",NULL,"Yao Koe Kai","13.3","KIP GERECHTEN (met witte rijst)","kipfilet met cashewnoten in licht pikante saus"
"114","94",NULL,"Lychee Kai","13.8","KIP GERECHTEN (met witte rijst)","licht gebraden kipfilet met lychee in zoetzure saus"
"115","95",NULL,"Yu Sian Kai","13.3","KIP GERECHTEN (met witte rijst)","kipfilet met licht zoet pikante kruidensaus"
"116","96",NULL,"Sze Chuan Kai","13.8","KIP GERECHTEN (met witte rijst)","kipfilet met pittige kruidensaus"
"117","97",NULL,"Kung Bao Kai","13.8","KIP GERECHTEN (met witte rijst)","kipfilet met cashewnoten in pittige saus"
"118","98",NULL,"Garnalen met champignons in knoflooksaus","15.9","GARNALEN GERECHTEN (met witte rijst)",NULL
"119","99",NULL,"Garnalen met tomatensaus","15.9","GARNALEN GERECHTEN (met witte rijst)",NULL
"120","100",NULL,"Garnalen met ketjapsaus","15.9","GARNALEN GERECHTEN (met witte rijst)",NULL
"121","101",NULL,"Garnalen met broccoli","16.1","GARNALEN GERECHTEN (met witte rijst)",NULL
"122","102",NULL,"Garnalen met Chinese champignons","16.1","GARNALEN GERECHTEN (met witte rijst)",NULL
"123","103",NULL,"Garnalen met kerriesaus","16.1","GARNALEN GERECHTEN (met witte rijst)",NULL
"124","104",NULL,"Garnalen met zwarte bonensaus","16.1","GARNALEN GERECHTEN (met witte rijst)",NULL
"125","105",NULL,"Garnalen met zwarte pepersaus","16.1","GARNALEN GERECHTEN (met witte rijst)",NULL
"126","106",NULL,"Garnalen met chilisaus","16.1","GARNALEN GERECHTEN (met witte rijst)",NULL
"127","107",NULL,"Yu Sian Haa","16.1","GARNALEN GERECHTEN (met witte rijst)","garnalen met licht zoet pikante kruidensaus"
"128","108",NULL,"Tjieuw Yem Haa","16.1","GARNALEN GERECHTEN (met witte rijst)","licht gebraden garnalen met zout en peper"
"129","109",NULL,"Tja Tai Haa","16.1","GARNALEN GERECHTEN (met witte rijst)","krokant gebakken garnalen"
"130","110",NULL,"Sze Chuan Haa","16.4","GARNALEN GERECHTEN (met witte rijst)",NULL
"131","111",NULL,"Ossenhaas met chanpignons in knoflooksaus","16.9","OSSENHAAS GERECHTEN (met witte rijst)",NULL
"132","112",NULL,"Ossenhaas met tomatensaus","16.9","OSSENHAAS GERECHTEN (met witte rijst)",NULL
"133","113",NULL,"Ossenhaas met ketjapsaus","16.9","OSSENHAAS GERECHTEN (met witte rijst)",NULL
"134","114",NULL,"Ossenhaas met broccoli","17.1","OSSENHAAS GERECHTEN (met witte rijst)",NULL
"135","115",NULL,"Ossenhaas met Chinese champignons","17.1","OSSENHAAS GERECHTEN (met witte rijst)",NULL
"136","116",NULL,"Ossenhaas met kerriesaus","17.1","OSSENHAAS GERECHTEN (met witte rijst)",NULL
"137","117",NULL,"Ossenhaas met zwarte bonensaus","17.1","OSSENHAAS GERECHTEN (met witte rijst)",NULL
"138","118",NULL,"Ossenhaas met zwarte pepersaus","17.1","OSSENHAAS GERECHTEN (met witte rijst)",NULL
"139","119",NULL,"Yu Sian Ngau Yuk","17.1","OSSENHAAS GERECHTEN (met witte rijst)","ossenhaas met licht zoet pikante kruidensaus"
"140","120",NULL,"Sze Chuan Ngau Yuk","17.4","OSSENHAAS GERECHTEN (met witte rijst)","ossenhaas met pittige kruidensaus"
"141","121",NULL,"Visfilet met kerriesaus","14.5","VISSEN GERECHTEN (met witte rijst)",NULL
"142","122",NULL,"Visfilet met oestersaus","14.5","VISSEN GERECHTEN (met witte rijst)",NULL
"143","123",NULL,"Visfilet met zoetzure saus","14.5","VISSEN GERECHTEN (met witte rijst)","licht gebraden visfilet in zoete pikante saus"
"144","124",NULL,"Hong Shau Yu","14.5","VISSEN GERECHTEN (met witte rijst)","licht gebraden visfilet in zoete pikante saus"
"145","125",NULL,"Tjeuw Yem Yu","15","VISSEN GERECHTEN (met witte rijst)","licht gebraden visfilet met zout en peper"
"146","126",NULL,"San Sching Po","16.1","VISSEN GERECHTEN (met witte rijst)","visfilet, garnalen, krab en groenten in knoflooksaus"
"147",NULL,"P1","Geroosterde Peking Eend","16.6","PEKING EEND GERECHTEN (met witte rijst)",NULL
"148",NULL,"P2","Peking Eend met verse ananas in zoetzure saus","17.1","PEKING EEND GERECHTEN (met witte rijst)",NULL
"149",NULL,"P3","Peking Eend met Chinese champignons in oestersaus","17.1","PEKING EEND GERECHTEN (met witte rijst)",NULL
"150",NULL,"P4","Yu Sian Ya","17.1","PEKING EEND GERECHTEN (met witte rijst)","peking eend met licht zoet pikante kruidensaus"
"151",NULL,"T1","Tiepan Ling Fa","17.9","TIEPAN SPECIALITEITEN (met witte rijst)","garnalen, kipfilet, ossenhaas en groenten in zwarte pepersaus"
"152",NULL,"T2","Tiepan Kai","15.3","TIEPAN SPECIALITEITEN (met witte rijst)","licht gebraden kipfilet en groenten met zoet pikante saus"
"153",NULL,"T3","Tiepan San Yuk","17.1","TIEPAN SPECIALITEITEN (met witte rijst)","lichtgrbaden varkenshaas, kipfilet, ossenhaas en groenten met zoet pikante saus"
"154",NULL,"T4","Tiepan Haa","17.4","TIEPAN SPECIALITEITEN (met witte rijst)","garnalen en groenten met zoet pikante saus"
"155",NULL,"T5","Tiepan Ngau Yuk","19.5","TIEPAN SPECIALITEITEN (met witte rijst)","5st. ossenhaas en groenten met zoet pikante saus"
"156",NULL,"V4","Tau Fu Po","15.3","TIEPAN SPECIALITEITEN (met witte rijst)","sojakaas, cha sieuw garnalen en chinese paddenstoelen"
"157",NULL,"V1","Vegetarische Tjap Tjoy","8.3","VEGETARISCHE GERECHTEN (met witte rijst)",NULL
"158",NULL,"V2","Lo Han Zhai","11.2","VEGETARISCHE GERECHTEN (met witte rijst)","sojakaas, Chinese paddenstoelen en groenten in knoflooksaus"
"159",NULL,"V3","Vegetarische Foe Yong Hai","8.3","VEGETARISCHE GERECHTEN (met witte rijst)",NULL
"160",NULL,"K1","Frites, saté; (2st.) en ei","6.5","KINDERMENUS",NULL
"161",NULL,"K2","Frites, kippootje en ei","6.5","KINDERMENUS",NULL
"162",NULL,"K3","Frites, mini loempia (2st.) en ei","6.5","KINDERMENUS",NULL
"163",NULL,"K4","Kinder Bami of Nasi met saté; (2st.) en ei","6.5","KINDERMENUS",NULL
"164",NULL,"R1","Indische rijsttafel (voor 1 persoon)","16.4","RIJSTTAFELS","Gado gado, Foe Yong Hai, saté;, Daging Roedjak, Daging Smoor, Ajam Ketjap, Atjar, Pisang Goreng, Pindas en Cocos"
"165",NULL,"R2","Indische rijsttafel vanaf 2 personen... Per persoon","15","RIJSTTAFELS","Ajam Ketjap, Gado Gado, Daging Smoor, Kroepoek, Daging Roedjak, Foe Yong Hai, Saté;, Sambal Goreng Boontjes, Sambal Goreng Kering, Atjar, Pisang Goreng, Pinda en Cocos"
"167",NULL,"R3","Chinese Indische Rijsttafel vanaf 4 personen... per persoon","16.5","RIJSTTAFELS","Foe Yong Hai, Babi Pangang, Tjap Tjoy, Koe Loe Yuk, Ajam Ketjap, Daging Smoor, Daging Roedjak, Saté;, Ei, Kroepoek, Sambal Goeren boontjes, Atjar, Pisang Goreng, Pinda en Cocos"
"168",NULL,"R4","Chinese Rijsttafel vanaf 2 personen... per persoon","17","RIJSTTAFELS","Kippen- of Tomatensoep, Tjap Tjoy met kipfilet, Koe Loe Yuk, Gebakken garnalen, Babi Pangang, Foe Yong Hai, saté;, kroepoek"
"169",NULL,"R5","Kantones Rijsttafel vanaf 2 personen... per persoon","23","RIJSTTAFELS","Wan Tan soep, Chinese Dim Sum (mini loempia, kerrie ko, pangsit goreng, garnalen, pasteitje), Geroosterde Peking Eend, Lychee Kai (licht gebraden kipfilet met lychee in zoetzure saus), Tau Sie Haa (garnalen met zwarte bonensaus)"
"170",NULL,"R6","Sze Chuan Rijsttafel vanaf 2 personen... per persoon","23","RIJSTTAFELS","Peking Soep (pittige lichtzure soep), Chinese Dim Sum (mini loempia, kerrie ko, pangsit goreng, garnalen, pastei(tje), Tjieuw Yem Kai (licht gebakken kipfilet met zout en peper), Lychee Yuk (licht gebraden varkensvlees met lychee in zoetzure saus), Yu Sian Ngau Yuk (ossenhaas met licht zoet pikante kruiden saus)"
"171",NULL,NULL,"Buffet Menu A, per persoon","12.8","BUFFET","Mini Loempia's, Pisang Goreng, Babi Pangang, Koe Loe Yuk, Foe Yong Hai, Kipfilet met zwarte bonensaus, Tjap Tjoy met kipfilet, saté; Ajam"
"172",NULL,NULL,"Buffet Menu B, per persoon","15","BUFFET","Mini Loempia's, Pisang Goreng, Babi Pangang, Foe Yong Hai, Kung Bao Kai, Hong Shau Yu, saté; Ajam, Ossenhaas met zwarte bonensaus, Kipfilet met kerriesaus"
"173",NULL,NULL,"Bami of Nasi Goreng ipv rijst","0.9","DIVERSEN",NULL
"174",NULL,NULL,"Mihoen Goreng ipv rijst","2.5","DIVERSEN",NULL
"175",NULL,NULL,"Chinese Bami ipv rijst","2.5","DIVERSEN",NULL
